test_date,category,fund_name,hist_pick_ann,hist_pick_hit,hist_n_months,fwd_months,fwd_alpha_ann,random_alpha
Sep 2024,Multi Cap,HDFC Multi Cap Fund,50.95,84.6,12,6,-38.3,
Sep 2024,Large & Mid Cap,HDFC Large and Mid Cap Fund,51.92,92.3,12,6,-34.55,-37.96
Sep 2024,Large & Mid Cap,Edelweiss Large & Mid Cap Fund,39.74,93.8,16,6,-31.42,12.99
Sep 2024,Focused,Edelweiss Focused Fund,38.32,87.5,16,6,-29.15,-15.2
Sep 2024,Focused,SBI FOCUSED FUND - DIRECT PLAN -GROWTH,28.0,75.0,15,6,-15.2,-23.99
Sep 2024,Value / Contrarian,SBI CONTRA FUND - DIRECT PLAN - GROWTH,41.26,81.2,15,6,-28.84,6.49
Sep 2024,Value / Contrarian,Quant Value Fund ,28.12,64.3,14,6,-28.76,-28.84
Sep 2024,Tax Saver (ELSS),HDFC ELSS Tax saver,47.99,100.0,10,6,-21.8,-14.6
Sep 2024,Tax Saver (ELSS),SBI ELSS Tax Saver FUND - DIRECT PLAN -GROWTH,47.62,87.5,15,6,-28.37,-14.6
Sep 2024,Thematic / Sectoral,HDFC Housing Opportunities Fund ,52.6,91.7,12,6,-45.46,11.22
Sep 2024,Thematic / Sectoral,SBI HEALTHCARE OPPORTUNITIES FUND - DIRECT PLAN -GROWTH,45.76,81.2,15,6,-10.63,-24.64
Sep 2024,Balanced Advantage,HDFC Balanced Advantage Fund Plan,39.33,92.3,12,6,-17.26,13.38
Sep 2024,Balanced Advantage,WhiteOak Capital Balanced Advantage Fund Direct Plan Growth,24.5,92.3,13,5,-4.92,-16.38
Sep 2024,Hybrid,HDFC Hybrid Equity Fund,29.39,92.3,12,6,-17.3,-6.1
Sep 2024,Hybrid,Edelweiss Aggressive Hybrid Fund-Direct Plan-Growth Option,33.13,87.5,16,6,-18.92,5.9
Nov 2024,Large Cap,Edelweiss Large Cap Fund-Growth option,26.63,83.3,18,6,-1.06,13.17
Nov 2024,Large Cap,SBI Large Cap FUND-DIRECT PLAN -GROWTH,21.46,72.2,17,6,0.65,11.51
Nov 2024,Mid Cap,Edelweiss Mid Cap Fund,43.17,83.3,18,6,-5.59,-2.43
Nov 2024,Mid Cap,SBI MIDCAP FUND - DIRECT PLAN - GROWTH,29.21,83.3,17,6,-7.39,-0.29
Nov 2024,Small Cap,Edelweiss Small Cap Fund,39.53,77.8,18,6,-20.24,
Nov 2024,Small Cap,Tata Small Cap Fund-Direct Plan-Growth,23.31,77.8,18,6,-28.03,-15.46
Nov 2024,Flexi Cap,HDFC Flexi Cap Fund,40.43,86.7,14,6,6.13,-1.74
Nov 2024,Flexi Cap,WhiteOak Capital Flexi Cap Fund Direct Plan-Growth,37.63,92.9,14,5,-15.37,
Nov 2024,Multi Cap,Edelweiss Multi Cap Fund,42.6,84.6,12,6,-9.8,-3.45
Nov 2024,Multi Cap,WhiteOak Capital Multi Cap Fund Direct Plan Growth,41.12,83.3,12,6,-3.45,-9.32
Nov 2024,Large & Mid Cap,HDFC Large and Mid Cap Fund,40.7,86.7,14,6,-4.72,-1.54
Nov 2024,Large & Mid Cap,Edelweiss Large & Mid Cap Fund,33.73,88.9,18,6,-7.73,
Nov 2024,Focused,Edelweiss Focused Fund,31.51,83.3,18,6,-3.46,6.5
Nov 2024,Focused,SBI FOCUSED FUND - DIRECT PLAN -GROWTH,24.14,72.2,17,6,2.64,-5.67
Nov 2024,Value / Contrarian,SBI CONTRA FUND - DIRECT PLAN - GROWTH,33.3,77.8,17,6,-3.94,-2.29
Nov 2024,Value / Contrarian,Quant Value Fund ,22.72,56.2,16,6,-21.15,3.84
Nov 2024,Tax Saver (ELSS),WhiteOak Capital ELSS Tax Saver Fund Direct Plan Growth,40.05,92.9,14,6,-1.72,-5.46
Nov 2024,Tax Saver (ELSS),HDFC ELSS Tax saver,37.46,91.7,12,6,4.88,4.33
Nov 2024,Thematic / Sectoral,SBI HEALTHCARE OPPORTUNITIES FUND - DIRECT PLAN -GROWTH,43.17,83.3,17,6,0.79,-6.96
Nov 2024,Thematic / Sectoral,HDFC Housing Opportunities Fund ,42.21,85.7,14,6,-15.34,-4.01
Nov 2024,Balanced Advantage,HDFC Balanced Advantage Fund Plan,32.07,86.7,14,6,1.07,6.47
Nov 2024,Balanced Advantage,WhiteOak Capital Balanced Advantage Fund Direct Plan Growth,24.5,92.9,14,6,6.47,12.29
