direct_code,regular_code
120682,100740
120731,102398
120828,100177
119231,101672
120819,101070
131355,131357
154112,154113
152287,152290
152293,152297
152090,152091
152844,152843
153003,153002
152990,152991
150443,150444
152712,152711
153420,153425
120716,100822
119251,115942
146701,146695
139859,139861
142201,142208
142225,142222
153847,153844
153604,153602
152470,152472
153795,153794
153552,153548
150285,150284
129200,129065
129193,129191
127071,127073
120035,115116
139091,139093
139365,139363
141204,141206
141469,141467
142989,142990
142740,142739
143050,143052
144117,144115
144556,144555
146102,146104
147152,147149
149570,149569
150571,150568
119566,105001
148507,148504
119581,101539
149668,149666
152677,152678
119595,102142
119597,109059
129212,129213
144835,144838
119589,100795
119549,101853
152314,152311
139711,139709
139990,139992
141564,141565
141141,141139
133324,133322
142153,142151
143079,143077
135682,135684
142388,142383
154208,154209
148555,148557
149254,149256
149250,149252
154310,154312
150587,150589
150346,150347
152226,152225
150797,150799
150584,150583
152071,152072
154161,154162
152915,152914
152962,152963
152349,152348
153189,153190
152132,152133
151267,151268
153355,153356
151745,151746
